"indic","qdesc","sdesc","who_2016","ilab","subst","samb","dontask1","dontask2","dontask3","dontask4","dontask5","dontask6","dontask7","dontask8","doaskif","nnonly","a_nrp","a_pend_6w","a_preg","b_0101","b_0102","b_0103","b_0104","b_0105","b_0106","b_0107","b_0108","b_0109","b_0110","b_0111","b_0112","b_0199","b_0201","b_0202","b_0203","b_0204","b_0205","b_0299","b_0301","b_0302","b_0303","b_0401","b_0402","b_0403","b_0499","b_0501","b_0502","b_0601","b_0602","b_0701","b_0801","b_0901","b_0902","b_0903","b_0904","b_0905","b_0906","b_0907","b_0908","b_0999","b_1001","b_1002","b_1003","b_1004","b_1006","b_1099","b_1101","b_1102","b_1201","b_1202","b_1203","b_1204","b_1205","b_1206","b_1207","b_1208","b_1209","b_1210","b_1299","b_9800","c_cult","c_emer","c_hsys","c_inev","c_know","c_resr"
"i022f","Was s(he) aged 1 to 11 months at death?","1 to 11m","W610022-f","W610022-f (1 to 11m)","Y","A","i022gY","i022dY","i022cY","i022aY","i022eY","i022bY","","","","","N","N","N","A-","A-","D+","A","B+","A","B+","A-","D-","B+","D","C-","B-","N","N","N","N","N","D","D","B","C-","D-","D","A-","D","N","D-","B-","C-","C+","B-","N","N","N","N","N","N","N","N","N","N","N","N","N","A","N","N","N","C+","D","C","C+","B-","B-","C+","N","C-","C","C+","D","C","A","A-","D","A","D"
"i022g","Was s(he) aged < 1 month (28 days) at death?","neonate","W610022-g","W610022-g (neonate)","Y","A","i022fY","i022dY","i022cY","i022aY","i022eY","i022bY","","","","","N","N","N","N","N","E","B-","D","B-","B+","A","N","N","E","E","B","N","N","N","N","N","N","N","D","C-","D-","N","D","D","N","N","C+","N","N","B-","N","N","N","N","N","N","N","N","N","I","I","I","I","A","I","I","I","D+","D+","B-","C-","B-","B-","C","N","D-","C","C","N","C","A","A","D","A","D"
"i022h","Was s(he) a live baby who died within 24 hours of birth?","d day0","W610022-h","W610022-h (d day1)","Y","B","i022iY","i022jY","i022kY","i114oY","","","","","","i022gY","N","N","N","N","N","N","D","N","N","E","E","N","N","N","N","E","N","N","N","N","N","N","E","E","E","E","E","E","E","N","E","E","E","E","E","N","N","N","N","N","N","N","N","N","A+","A+","E","E","C","B","N","N","D","D","D","D","D","D","D","N","D","D","D","E","D","I","A","C","D","D"
"i022i","Was s(he) a baby who died between 24 and 48 hours of birth?","d day1","W610022-i","W610022-i (d day2)","Y","B","i022hY","i022jY","i022kY","","","","","","","i022gY","N","N","N","N","N","N","C","N","N","E","E","N","N","N","N","E","N","N","N","N","N","N","E","E","E","E","E","E","E","N","E","E","E","E","E","N","N","N","N","N","N","N","N","N","A-","A-","C","C","D","B","N","N","D","D","D","D","D","D","D","N","D","D","D","E","C","A+","A","C","C","C"
"i022j","Was s(he) a baby who died more than 48 hours from birth, but within the first week?","d day2-6","W610022-j","W610022-j (d day3-6)","Y","B","i022hY","i022iY","i022kY","","","","","","","i022gY","N","N","N","N","N","N","C","N","N","C","C","N","N","N","N","C","N","N","N","N","N","N","D","C","D","D","D","D","D","N","D","D","D","D","D","N","N","N","N","N","N","N","N","N","D","D","A","A","D","B","N","N","D","D","D","D","D","D","D","N","D","D","D","D","C","A","A","C","C","B-"
"i022k","Was s(he) a baby who died after the first week, but within the first month?","d wk2-4","W610022-k","W610022-k (d wk2-4)","Y","B","i022hY","i022iY","i022jY","","","","","","","i022gY","N","N","N","N","N","N","C+","N","N","C+","D","N","N","E","E","C","N","N","N","N","N","N","D","C","D","D","D","D","D","N","D","D","D","D","D","N","N","N","N","N","N","N","N","N","E","D","A","A","D","B","N","N","D","D","D","D","D","D","N","N","D","D","D","D","C","B","A","C","C","B-"
"i022l","Was she a woman aged 12-19 years at death?","f 12-19","W610022-l","W610022-l (f 12-19)","Y","W","i019aY","i022mY","i022nY","","","","","","","","A","B+","B+","D","D","D","D","C-","C-","C","D","D","D","D","D","C","C","C","C","C","C","D","D","D","D","D","D","C","C","D","C","C","D","D","C","A-","A+","A-","A-","A","A","A-","A-","A-","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","C","C","A","A","D","C","C"
"i022m","Was she a woman aged 20-34 years at death?","f 20-34","W610022-m","W610022-m (f 20-34)","Y","W","i019aY","i022lY","i022nY","","","","","","i022cY","","A","B+","B+","C","C","C+","C","C+","C-","C","C","C","C-","C","D","C","C","C","C","B","C","D","C","C","C","C","C","C","C","C","C","C","C","C","C","A","A-","A-","A","A-","A","A","A-","A-","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","C","C","B","A","D","C","C"
"i022n","Was she a woman aged 35 to 49 years at death?","f 30-49","W610022-n","W610022-n (f 30-49)","Y","W","i019aY","i022mY","i022lY","","","","","","i022cY","","A+","B","B","C","C","C+","C","C","C-","C","C","C+","C-","C","D","D","B","B-","B-","A","B-","D","C","C","C","B","B","C","B","C","C","C","B","B","C","B+","A-","A-","A-","A-","A-","A","A","A-","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","B","B","C","B","C","B","B"
"i059o","Was she married at the time of death?","married","W610059-o","W610059-o (married)","Y","B","i019aY","i022gY","i022fY","i022eY","i022bY","i022aY","","","","","A","A+","A+","C","C","C+","C","C","C-","C","C","C","C","C","D-","D","C","C","C","C","C","D","C","C","C","C","C","C","B","C","C","C","C","C","C","A-","A-","A-","A-","A-","A-","A-","A-","A-","N","N","N","N","N","N","N","N","C","C","C","C","C","C","C","C","C","C","D","C","C","B","B+","B+","C","B"
"i077o","Did (s)he suffer from any injury or accident that led to her/his death?","injury","W610077-o","W610077-o (injury)","Y","M","","","","","","","","","","","B","B-","B-","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","I","I","I","I","I","I","I","I","I","I","I","E","D","A","D","B+","D","C"
"i079o","Was (s)he injured in a road traffic accident?","inj rta","W610079-o","W610079-o (inj rta)","Y","M","i082oY","i084oY","i086oY","i090oY","i091oY","i093oY","","","i077oY","","C-","C-","C-","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","I","D","C","C","C","E","E","C","C","E","E","E","D","A","D","B","D","C"
"i082o","Was (s)he injured in a non-road transport accident?","inj nrta","W610082-o","W610082-o (inj nrta)","Y","M","i079oY","i084oY","i086oY","i090oY","i091oY","i093oY","","","i077oY","","D","D","D","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","D","I","D","D","D","E","E","C","D","E","E","E","D","A","D","B","D","C"
"i083o","Was (s)he injured in a fall?","inj fall","W610083-o","W610083-o (inj fall)","Y","M","i084oY","i086oY","i091oY","i093oY","","","","","i077oY","","C+","C+","C+","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","E","E","I","C","C+","E","E","C","D","E","E","E","D","A","D","B","D","C"
"i084o","Was (s)he poisoned in any way?","inj poison","W610084-o","W610084-o (inj poison)","Y","M","i079oY","i082oY","i083oY","i087oY","i089oY","i095oY","","","i077oY","","C-","C-","C-","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","E","E","E","E","E","E","I","A","E","E","E","E","C","A","D","B","C","C"
"i085o","Did (s)he die of drowning?","inj drown","W610085-o","W610085-o (inj drown)","Y","M","i084oY","i089oY","i093oY","i095oY","","","","","i077oY","","C","C","C","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","E","E","E","I","E","E","E","C","D","D","E","E","C","A","D","B","C","C"
"i086o","Was (s)he injured by the bite or sting of a venomous animal?","inj venom","W610086-o","W610086-o (inj venom)","Y","M","i079oY","i082oY","i084oY","i085oY","i087oY","i089oY","i091oY","i095oY","i077oY","","D-","D-","D-","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","E","E","E","E","E","I","E","E","E","E","E","E","C","A","D","B","C","C"
"i087o","Was (s)he injured by an animal or insect (non-venomous)","inj anim","W610087-o","W610087-o (inj anim)","Y","M","i084oY","i086oY","i089oY","i091oY","i095oY","","","","i077oY","","C","C","C","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","E","D","N","N","N","E","E","E","C","N","D","A","D","B","D","C"
"i089o","Was (s)he injured by burns or fire?","inj burn","W610089-o","W610089-o (inj burn)","Y","M","i084oY","i086oY","i087oY","i091oY","i092oY","i093oY","i094oY","i095oY","i077oY","","C","C","C","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","C","C","E","E","A","E","E","E","E","E","E","N","D","A","D","B","D","C"
"i090o","Was (s)he subject to violence (suicide, homicide, abuse)?","inj viol","W610090-o","W610090-o (inj viol)","Y","M","","","","","","","","","i077oY","","C","C","C","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","E","E","E","D-","D-","E","E","E","I","E","E","E","D","A","D","B","D","C"
"i091o","Was (s)he injured by a fire arm?","inj gun","W610091-o","W610091-o (inj gun)","Y","M","","","","","","","","","i090oY","","C","C","C","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","E","E","E","E","E","E","E","A","B","E","E","N","D","A","D","B+","D","C"
"i092o","Was (s)he stabbed, cut or pierced?","inj stab","W610092-o","W610092-o (inj stab)","Y","M","","","","","","","","","i090oY","","C","C","C","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","E","E","E","E","E","E","E","A-","B","C","E","N","D","A","D","B+","D","C"
"i093o","Was (s)he strangled?","inj strng","W610093-o","W610093-o (inj strng)","Y","M","","","","","","","","","i090oY","","C","C","C","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","E","E","E","E","E","E","E","A","E","D","E","N","D","A","D","B","D","C"
"i094o","Was (s)he injured by a blunt force?","inj blfor","W610094-o","W610094-o (inj blfor)","Y","M","","","","","","","","","i090oY","","C","C","C","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","C","D","C","E","E","E","E","E","A","C","D","N","D","A","D","B","D","C"
"i095o","Was (s)he injured by a force of nature?","inj nature","W610095-o","W610095-o (inj nature)","Y","M","i084oY","i086oY","i087oY","","","","","","i077oY","","D-","D-","D-","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","E","E","E","E","E","E","E","E","E","I","E","E","D","A","D","B","D","C"
"i096o","Was (s)he electrocuted?","inj elec","W610096-o","W610096-o (inj elec)","Y","M","","","","","","","","","i077oY","","C","C","C","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","B","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","C","C","C","C","N","D","A","D","B","D","C"
"i098o","Was the injury accidental?","inj accid","W610098-o","W610098-o (inj accid)","Y","M","","","","","","","","","i077oY","","C","C","C","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","A","A","A","A","A","A","A","N","N","A","B","N","D","A","D","B","D","C"
"i099o","Was the injury or accident self-inflicted?","inj suic","W610099-o","W610099-o (inj suic)","Y","M","i022gY","i022fY","i022eY","i095oY","","","","","i090oY","","C-","C","C","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","E","E","E","E","E","E","E","I","E","E","E","E","B","A","D","B","D","C"
"i100o","Was the injury or accident intentionally inflicted by someone else?","inj int","W610100-o","W610100-o (inj int)","Y","M","i082oY","i095oY","","","","","","","i090oY","","D-","D-","D-","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","E","N","N","E","E","E","E","E","E","E","E","I","E","E","E","D","A","D","B+","D","C"
"i104o","Did the baby ever cry?","ever cry","W610104-o","W610104-o (ever cry)","N","M","i022iY","i022jY","i022kY","","","","","","","i022gY","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","A","A","N","N","E","N","A","A","N","N","N","N","N","N","N","N","N","N","N","N","D","D","C","A","D","D"
"i105o","Did the baby cry immediately after birth, even if only a little bit?","cry little","W610105-o","W610105-o (cry little)","Y","M","i104oN","","","","","","","","i104oY","i022gY","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","A-","D","D","D","D","B","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","C","C","D","D"
"i106a","Was it more than 5 minutes after birth before the baby first cried?","cry 5+m","W610106-a","W610106-a (cry 5+m)","Y","M","i104oN","i105oN","","","","","","","i104oY","i022gY","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","C","B-","C","C","C","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","C","C","D","D"
"i107o","Did the baby stop being able to cry?","cry stop","W610107-o","W610107-o (cry stop)","Y","M","i104oN","","","","","","","","i104oY","i022gY","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","B-","B","B-","B-","B-","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","C","C","D","D"
"i108a","Did the baby stop crying more than a day before (s)he died?","cry st 1+d","W610108-a","W610108-a (cry st 1+d)","Y","M","i104oN","","","","","","","","i107oY","i022gY","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","C","C+","C-","C+","C","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D","D","D","D"
"i109o","Did the baby ever move?","ever move","W610109-o","W610109-o (ever move)","N","M","i022iY","i022jY","i022kY","","","","","","","i022gY","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","B","B","N","N","E","N","A","A","N","N","N","N","N","N","N","N","N","N","N","N","D","D","C","A","D","D"
"i110o","Did the baby ever breathe?","ever breathe","W610110-o","W610110-o (ever breathe)","N","M","i022iY","i022jY","i022kY","","","","","","","i022gY","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","B","B","N","N","E","N","A-","A-","N","N","N","N","N","N","N","N","N","N","N","N","D","D","C","A","D","D"
"i111o","Did the baby breathe immediately after birth, even a little?","brth little","W610111-o","W610111-o (brth little)","Y","M","i110oN","","","","","","","","i110oY","i022gY","N","N","N","N","N","N","N","N","N","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","B","D","E","E","D","D","N","N","E","E","E","E","E","E","E","N","E","E","E","N","D","D","D","D","D","D"
"i112o","Did the baby have a breathing problem?","brth prob","W610112-o","W610112-o (brth prob)","Y","M","i110oN","","","","","","","","i110oY","i022gY","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","B","I","D","E","C","E","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D","D","D","D"
"i113o","Was the baby given assistance to breathe at birth?","brth assis","W610113-o","W610113-o (brth assis)","Y","M","","","","","","","","","","i022gY","N","N","N","N","N","N","D","N","N","D","D","N","E","N","N","D","N","N","N","N","N","N","N","D","N","D","D","D","D","N","D","D","D","D","D","N","N","N","N","N","N","N","N","N","A-","I","C-","C-","C-","D","N","N","E","E","E","E","E","D","E","N","D","E","D","E","D","D","D","D","D","D"
"i114o","If the baby didn't show any sign of life, was it born dead?","born dead","W610114-o","W610114-o (born dead)","Y","M","i104oY","i109oY","i110oY","","i022iY","i022jY","i022kY","","","i022gY","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","I","A","N","N","N","N","N","N","N","N","N","N","N","N","C","D","B","A","C","D"
"i115o","Were there any bruises or signs of injury on child's body after the birth?","bruised","W610115-o","W610115-o (bruised)","Y","M","","","","","","","","","","i022gY","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","E","C","N","N","C","D","B","C","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D","B","D","D"
"i116o","Was the baby's body soft, pulpy and discoloured with the skin peeling away?","macerated","W610116-o","W610116-o (macerated)","Y","M","i022iY","i022jY","i022kY","","","","","","i114oY","i022gY","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","A+","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D","A","D","D"
"i120a","Did the final illness last less than 3 weeks?","ill <3w","W610120-a","W610120-a (ill <3w)","Y","M","i022gY","i120bY","","","","","","","","","A","A","A-","A","A","C","A","A+","A","A+","A","D","B-","A+","I","A+","D","D","D","D","D","D","D","D","A-","A+","A","C","B","D","A+","A-","A-","A-","A","A+","A","A+","A+","A+","A","A-","A+","A","A+","A+","A+","A+","B","A+","I","I","A+","A+","A+","A+","A+","A+","A+","A+","A+","A+","A+","D","A","A","A","A","A","A-"
"i120b","Did the final illness last at least 3 weeks?","ill 3+w","W610120-b","W610120-b (ill 3+w)","Y","M","i022gY","i120aY","","","","","","","","","A","B+","B+","B","B","A+","B+","E","B+","E","C","A+","A+","D","E","C","A+","A+","A+","A+","A+","A+","A","A","A","C","B","A","A","A+","A-","A-","A","A","A","C","B","C","C","D","B","B","D","A-","D","N","D","D","B","C","N","N","C","C","C","D","C","C","C","C","C-","C","C","A+","A","D","A","A","A","A+"
"i123o","Did (s)he die suddenly?","sudden","W610123-o","W610123-o (sudden)","Y","M","","","","","","","","","","","A-","A-","A+","B","B","C+","C","B","B-","A-","C","C","N","B","B-","B","D","D","D","D","D","D","B","C-","C","A+","A","C","A","D","A","A","C","C","A+","A","A","A+","A+","A","A-","A-","A","A","A","A","B","B","B","A","I","I","A+","A+","A+","A+","A+","A","A-","A-","A+","A","A+","B","C","A+","D","A+","E","D"
"i125o","Was there any diagnosis by a health professional of tuberculosis?","dia tb","W610125-o","W610125-o (dia tb)","Y","M","i022gY","","","","","","","","","","C","C","C","D","D","D","D","D","D","D","D","A+","D","D","D-","D-","D","D","E","D","D","D","C","D","C","C","C","D","D","D","D","C","C","C","C","C","C","C","C","C","C","C","C","C","D","N","D","D","D","N","N","N","D","D","D","D","D","D","D","D","D","D","D","D","C","D","B","C","B","C"
"i127o","Was there any diagnosis by a health professional of HIV/AIDS?","dia HIV","W610127-o","W610127-o (dia HIV)","Y","M","i022gY","","","","","","","","","","B","B","B","C","D","I","D","D","C","C","C","D","C","D","D-","D-","C","C","C","C","C","C","C","D","B","B","C","D","D","C","B","B","B","B","B","B","B","B","B","B","B-","B","B","C","D","D","D","D","D","N","N","N","C","D","D","C","D","D","C","B+","C","D","C","E","B","D","B","B","B","C"
"i128o","Did (s)he have a recent positive test by a health professional for malaria?","dia mal+","W610128-o","W610128-o (dia mal+)","Y","M","i022gY","i129oY","","","","","","","","","C+","C+","B-","E","D","D","C","A+","D","D-","D","D","D","E","E","D-","D","D","D","D","D","D","C+","C-","C-","C-","D","D","D","C-","C-","C-","C","C-","C-","C","C","C","C","C","C","C","C","C","D","D","D","D","C-","N","N","N","D","D","D","D","D","D","D","D","D","D","C","C-","C","A","B","D","B","C"
